2|4|0.000237|
2|4|0.000182|
2|4|0.000174|
2|4|0.000179|
2|4|0.000179|
2|8|0.000177|
2|8|0.000169|
2|8|0.000174|
2|8|0.00017|
2|8|0.000179|
2|16|0.000176|
2|16|0.000179|
2|16|0.000169|
2|16|0.00018|
2|16|0.000169|
2|32|0.00018|
2|32|0.000173|
2|32|0.000174|
2|32|0.000176|
2|32|0.000169|
2|64|0.000169|
2|64|0.000176|
2|64|0.000177|
2|64|0.000181|
2|64|0.000176|
2|128|0.000174|
2|128|0.000178|
2|128|0.000165|
2|128|0.000165|
2|128|0.000173|
2|256|0.000181|
2|256|0.000172|
2|256|0.00018|
2|256|0.000182|
2|256|0.000176|
2|512|0.000174|
2|512|0.00017|
2|512|0.000184|
2|512|0.000195|
2|512|0.000176|
2|1024|0.000182|
2|1024|0.000184|
2|1024|0.000181|
2|1024|0.000199|
2|1024|0.000195|
2|2048|0.000189|
2|2048|0.000199|
2|2048|0.000194|
2|2048|0.000177|
2|2048|0.000172|
2|4096|0.000172|
2|4096|0.000178|
2|4096|0.000166|
2|4096|0.000184|
2|4096|0.000174|
2|8192|0.000177|
2|8192|0.00018|
2|8192|0.000169|
2|8192|0.000174|
2|8192|0.000179|
2|16384|0.000177|
2|16384|0.000166|
2|16384|0.000171|
2|16384|0.000176|
2|16384|0.000177|
2|32768|0.000166|
2|32768|0.000177|
2|32768|0.000181|
2|32768|0.000177|
2|32768|0.000169|
2|65536|0.00017|
2|65536|0.000173|
2|65536|0.000173|
2|65536|0.000174|
2|65536|0.000174|
2|131072|0.000183|
2|131072|0.000184|
2|131072|0.00018|
2|131072|0.000184|
2|131072|0.000178|
2|262144|0.000182|
2|262144|0.000178|
2|262144|0.000182|
2|262144|0.000191|
2|262144|0.000179|
2|524288|0.000177|
2|524288|0.000181|
2|524288|0.000183|
2|524288|0.000175|
2|524288|0.000185|
2|1048576|0.000181|
2|1048576|0.000175|
2|1048576|0.000178|
2|1048576|0.000187|
2|1048576|0.000187|
3|4|0.000267|
3|4|0.000258|
3|4|0.000231|
3|4|0.000245|
3|4|0.00025|
3|8|0.000266|
3|8|0.000263|
3|8|0.000278|
3|8|0.000253|
3|8|0.000273|
